Processed 10000 rows; Write: 10610.19 rows/s
Processed 20000 rows; Write: 10410.18 rows/s
Processed 30000 rows; Write: 10001.72 rows/s
Processed 40000 rows; Write: 10284.65 rows/s
Processed 50000 rows; Write: 10529.87 rows/s
Processed 60000 rows; Write: 10107.29 rows/s
Processed 70000 rows; Write: 10265.47 rows/s
Processed 80000 rows; Write: 10372.57 rows/s
Processed 90000 rows; Write: 9976.18 rows/s
Processed 100000 rows; Write: 9973.60 rows/s
Processed 110000 rows; Write: 10865.84 rows/s
Processed 120000 rows; Write: 10683.21 rows/s
Processed 130000 rows; Write: 10515.66 rows/s
Processed 140000 rows; Write: 9700.15 rows/s
Processed 150000 rows; Write: 10337.27 rows/s
Processed 160000 rows; Write: 10520.94 rows/s
Processed 170000 rows; Write: 10403.26 rows/s
Processed 180000 rows; Write: 10409.39 rows/s
Processed 190000 rows; Write: 10344.87 rows/s
Processed 200000 rows; Write: 9686.25 rows/s
Processed 210000 rows; Write: 10039.68 rows/s
Processed 220000 rows; Write: 9742.97 rows/s
Processed 230000 rows; Write: 9323.39 rows/s
Processed 240000 rows; Write: 9296.62 rows/s
Processed 250000 rows; Write: 9911.16 rows/s
Processed 260000 rows; Write: 10133.34 rows/s
Processed 270000 rows; Write: 10534.07 rows/s
Processed 280000 rows; Write: 10389.06 rows/s
Processed 290000 rows; Write: 10558.81 rows/s
Processed 300000 rows; Write: 9892.10 rows/s
Processed 310000 rows; Write: 9861.10 rows/s
Processed 320000 rows; Write: 7603.80 rows/s
Processed 330000 rows; Write: 8838.76 rows/s
Processed 340000 rows; Write: 9303.32 rows/s
Processed 350000 rows; Write: 9955.88 rows/s
Processed 360000 rows; Write: 10225.70 rows/s
Processed 370000 rows; Write: 9802.94 rows/s
Processed 380000 rows; Write: 9460.51 rows/s
Processed 390000 rows; Write: 9843.78 rows/s
Processed 400000 rows; Write: 10327.03 rows/s
Processed 410000 rows; Write: 10166.07 rows/s
Processed 420000 rows; Write: 9957.23 rows/s
Processed 430000 rows; Write: 10525.73 rows/s
Processed 440000 rows; Write: 11029.15 rows/s
Processed 450000 rows; Write: 11028.02 rows/s
Processed 460000 rows; Write: 10842.87 rows/s
Processed 470000 rows; Write: 10175.85 rows/s
Processed 480000 rows; Write: 10353.65 rows/s
Processed 490000 rows; Write: 10509.81 rows/s
Processed 500000 rows; Write: 9991.18 rows/s
Processed 510000 rows; Write: 10164.93 rows/s
