[3;J[H[2JProcessed 10000 rows; Write: 10836.38 rows/s
Processed 20000 rows; Write: 10638.38 rows/s
Processed 30000 rows; Write: 10601.41 rows/s
Processed 40000 rows; Write: 10391.69 rows/s
Processed 50000 rows; Write: 10546.13 rows/s
Processed 60000 rows; Write: 10226.56 rows/s
Processed 70000 rows; Write: 9474.64 rows/s
Processed 80000 rows; Write: 10068.83 rows/s
Processed 90000 rows; Write: 9993.91 rows/s
Processed 100000 rows; Write: 10681.79 rows/s
Processed 110000 rows; Write: 10359.72 rows/s
Processed 120000 rows; Write: 10170.58 rows/s
Processed 130000 rows; Write: 10323.12 rows/s
Processed 140000 rows; Write: 10192.47 rows/s
Processed 150000 rows; Write: 10573.59 rows/s
Processed 160000 rows; Write: 10558.22 rows/s
Processed 170000 rows; Write: 10751.94 rows/s
Processed 180000 rows; Write: 10701.58 rows/s
Processed 190000 rows; Write: 10394.57 rows/s
Processed 200000 rows; Write: 10689.13 rows/s
Processed 210000 rows; Write: 10672.30 rows/s
Processed 220000 rows; Write: 10670.67 rows/s
Processed 230000 rows; Write: 10229.91 rows/s
Processed 240000 rows; Write: 10038.32 rows/s
Processed 250000 rows; Write: 10016.75 rows/s
Processed 260000 rows; Write: 10411.86 rows/s
Processed 270000 rows; Write: 10259.63 rows/s
Processed 280000 rows; Write: 10452.09 rows/s
Processed 290000 rows; Write: 10664.70 rows/s
Processed 300000 rows; Write: 10467.66 rows/s
Processed 310000 rows; Write: 10272.52 rows/s
Processed 320000 rows; Write: 10517.45 rows/s
Processed 330000 rows; Write: 10597.76 rows/s
Processed 340000 rows; Write: 10633.86 rows/s
Processed 350000 rows; Write: 10772.11 rows/s
Processed 360000 rows; Write: 10131.12 rows/s
Processed 370000 rows; Write: 10665.36 rows/s
Processed 380000 rows; Write: 10556.32 rows/s
Processed 390000 rows; Write: 10388.91 rows/s
Processed 400000 rows; Write: 10336.68 rows/s
Processed 410000 rows; Write: 10704.19 rows/s
Processed 420000 rows; Write: 10513.54 rows/s
Processed 430000 rows; Write: 10627.37 rows/s
Processed 440000 rows; Write: 10858.50 rows/s
Processed 450000 rows; Write: 10481.11 rows/s
Processed 460000 rows; Write: 10219.56 rows/s
Processed 470000 rows; Write: 10491.79 rows/s
Processed 480000 rows; Write: 10389.24 rows/s
Processed 490000 rows; Write: 10597.51 rows/s
Processed 500000 rows; Write: 10956.47 rows/s
Processed 510000 rows; Write: 11076.63 rows/s
Processed 520000 rows; Write: 10886.96 rows/s
Processed 530000 rows; Write: 10261.87 rows/s
